ID;object;infranch;R;V;B;centreX;centreY;rect;width;height;angle;radius
SpotY1;item_spot;1;255;255;0;90;200;0;0;0;0;30
SpotY2;item_spot;1;255;255;0;850;100;0;0;0;0;30
SpotY3;item_spot;1;255;255;0;850;200;0;0;0;0;30
SpotY4;item_spot;1;255;255;0;870;1355;0;0;0;0;30
SpotY5;item_spot;1;255;255;0;1300;1400;0;0;0;0;30
SpotY6;item_spot;1;255;255;0;1100;1770;0;0;0;0;30
SpotY7;item_spot;1;255;255;0;90;1750;0;0;0;0;30
SpotY8;item_spot;1;255;255;0;90;1850;0;0;0;0;30
SpotG1;item_spot;1;0;255;0;2910;200;0;0;0;0;30
SpotG2;item_spot;1;0;255;0;2150;100;0;0;0;0;30
SpotG3;item_spot;1;0;255;0;2150;200;0;0;0;0;30
SpotG4;item_spot;1;0;255;0;2130;1355;0;0;0;0;30
SpotG5;item_spot;1;0;255;0;1700;1400;0;0;0;0;30
SpotG6;item_spot;1;0;255;0;1900;1770;0;0;0;0;30
SpotG7;item_spot;1;0;255;0;2910;1750;0;0;0;0;30
SpotG8;item_spot;1;0;255;0;2910;1850;0;0;0;0;30
Cup1;item_cup;1;255;255;255;910;830;0;0;0;0;50
Cup2;item_cup;1;255;255;255;2090;830;0;0;0;0;50
Cup3;item_cup;1;255;255;255;250;1750;0;0;0;0;50
Cup4;item_cup;1;255;255;255;1500;1650;0;0;0;0;50
Cup5;item_cup;1;255;255;255;2750;1750;0;0;0;0;50
